Organization Name ,Region,Country
The Finnish universities are (sorted by the year of establishment):,3,351
    University of Helsinki (1640/1827),3,351
    Åbo Akademi University in Turku (1918),3,351
    University of Turku (1920),3,351
    University of Tampere (1925),3,351
"    University of Jyväskylä (1866, promoted to university status in 1934)",3,351
    University of Oulu (1958),3,351
    University of Eastern Finland in Joensuu and Kuopio (1966/1969/2010),3,351
    University of Vaasa (1968),3,351
    University of Lapland in Rovaniemi (1979),3,351
Hanken School of Economics ,3,351
Tampere University of Technology ,3,351
Lappeenranta University of Technology ,3,351
National Defence University ,3,351
University of the Arts Helsinki ,3,351
,,
,,
,,
