Organization Name ,region,country
Athabasca University ,14,227
Grant MacEwan University ,14,227
Mount Royal University ,14,227
University of Alberta ,14,227
University of Calgary ,14,227
University of Lethbridge ,14,227
Capilano University ,14,227
Emily Carr University of Art and Design ,14,227
Kwantlen Polytechnic University ,14,227
Royal Roads University ,14,227
Simon Fraser University ,14,227
Thompson Rivers University ,14,227
University of British Columbia ,14,227
University of Victoria ,14,227
University of the Fraser Valley ,14,227
University of Northern British Columbia ,14,227
Vancouver Island University ,14,227
Brandon University ,14,227
University College of the North ,14,227
University of Manitoba ,14,227
University of Winnipeg ,14,227
Université de Saint-Boniface ,14,227
Mount Allison University ,14,227
St. Thomas University ,14,227
University of New Brunswick ,14,227
Université de Moncton ,14,227
Memorial University of Newfoundland ,14,227
Acadia University ,14,227
Cape Breton University ,14,227
Dalhousie University ,14,227
University of King's College ,14,227
Mount Saint Vincent University ,14,227
NSCAD University ,14,227
Saint Francis Xavier University ,14,227
Saint Mary's University ,14,227
Université Sainte-Anne ,14,227
Algoma University ,14,227
Brock University ,14,227
Carleton University ,14,227
Dominican University College ,14,227
Lakehead University ,14,227
Laurentian University ,14,227
McMaster University ,14,227
Nipissing University ,14,227
OCAD University ,14,227
Queen's University ,14,227
Saint Paul University ,14,227
Royal Military College of Canada ,14,227
Ryerson University ,14,227
Trent University ,14,227
University of Guelph ,14,227
University of Ontario Institute of Technology ,14,227
University of Ottawa ,14,227
University of Toronto ,14,227
University of Waterloo ,14,227
University of Western Ontario ,14,227
University of Windsor ,14,227
Wilfrid Laurier University ,14,227
York University ,14,227
University of Prince Edward Island ,14,227
Bishop's University ,14,227
Concordia University ,14,227
École de technologie supérieure ,14,227
École nationale d'administration publique ,14,227
École Polytechnique de Montréal ,14,227
HEC Montréal ,14,227
Institut national de la recherche scientifique ,14,227
McGill University ,14,227
Université de Montréal ,14,227
Université de Sherbrooke ,14,227
Université du Québec en Abitibi-Témiscamingue ,14,227
Université du Québec en Outaouais ,14,227
Université du Québec à Chicoutimi ,14,227
Université du Québec à Montréal ,14,227
Université du Québec à Rimouski ,14,227
Université du Québec à Trois-Rivières ,14,227
Université Laval ,14,227
First Nations University of Canada ,14,227
University of Regina ,14,227
University of Saskatchewan ,14,227
Fairleigh Dickinson University ,14,227
Quest University ,14,227
Trinity Western University ,14,227
University Canada West ,14,227
Booth University College ,14,227
Canadian Mennonite University ,14,227
Kingswood University ,14,227
Crandall University ,14,227
St. Stephen's University ,14,227
University of Fredericton ,14,227
Atlantic School of Theology ,14,227
Tyndale University College ,14,227
Redeemer University College ,14,227
